ReviewID,Review
1,"มนต์นมสด สาขาแรกตรงข้ามศาลาว่าการกรุงเทพ เป็นหนึ่งในร้านที่เราชอบมากตอนเด็กๆ สมัยก่อนเมนูไม่ได้มีให้เลือกมากมายแบบตอนนี้ แต่เวลาเปลี่ยน ทุกอย่างก็ต้องพัฒนา ร้านจากห้องแถวธรรมดาก็ติดแอร์ เมนูจากไม่กี่อย่างก็มีเพิ่มมาอีกหลายอย่างทั้งส่วนของขนมปังและนม ระบบการจัดการของการซื้อทานที่ร้านและซื้อกลับบ้าน

ขนมปังและนมของทางร้าน ส่วนตัวเราว่าไม่ได้ต่างจากที่อื่นเท่าไหร่นะคะ แต่มันเป็นความรู้สึกและการกลับไปรำลึกบรรยากาศของร้านที่เราเคยคุ้นเคยมากกว่า ร้านเปิดบ่าย 2 โมง - 5 ทุ่ม คนมารอกันตั้งแต่ก่อนร้านเปิดเลยทีเดียว

ร้านไม่เล็ก แต่คนเยอะจนดูแน่นไปหมด ผสมกับการที่เราโตขึ้น EQ เราก็แย่ลง ทำให้การเจอคนเยอะขนาดนี้ไม่ค่อยลงตัวกันสักเท่าไหร่ ถ้าไม่ได้มีเหตุจำเป็นอะไรก็คงเลือกที่จะไม่ไปค่ะ (อันนี้นิสัยเสียๆส่วนตัวนะคะ รสชาติโอเคอยู่ ไม่ได้ผิดที่ร้าน ผิดที่เรานี่แหล่ะ)"
2,"แม้ว่าตอนนี้จะขยายไป 4 สาขาแล้ว แต่ร้านดั้งเดิมตรงนี้ก็ยังมีคนล้นหลามอยู่เสมอ บรรยากาศจะเป็นแบบเก้าอี้ดนตรีหน่อยๆค่ะ 555 ต้องแย่งชิงที่นั่งนิดนึง ส่วนคิวต่ออกไปจนนอกร้านตลอดเวลาจ้า ที่นี่จะแบ่งเป็นสเตชั่น ขนมปังปิ้ง ขนมปังนึ่ง และ น้ำค่ะ เพราะฉะนั้นก็จะมี 3 คิวหลักๆ ส่วนคิวที่ต่อยาวไปนอกร้านคือคิวขนมปังปิ้งจ้าา เราไม่สามารถสั่งน้ำและขนมปังในที่เดียวกันได้นะจ่ะ

ปกติชอบกิน นมสดเย็น เพราะชื่นใจดี แต่วันนี้ขอลองเปลี่ยนมาเป็น นมแดง ก็อร่อยดีค่ะ แก้วละ 35- บาท แต่ให้น้ำแข็งมาเต็มแก้วเชียว ขอหักคะแนนตรงนี้หน่อย ส่วนขนมปังสั่งมา 3 หน้า คือ สังขยาไข่ (25-) เนยนม (20-) และเนยน้ำตาล (15-) ส่วนตัวชอบสังขยาไข่เพราะไม่หวานดีค่ะ ส่วนเนยนมก็มารับความอ้วนไปได้เต็มๆเลยจ้า หวานมันสุด ส่วนเนยน้ำตาลรู้สึกเฉยมาก ได้แต่ความหอมของขนมปัง แต่รู้สึกว่าจะแห้งไปหน่อย และไม่ได้ความรู้สึกของน้ำตาลเท่าไรนัก"
3,"ร้านขนมปังมนต์นมสด สาขาเสาชิงช้า เป็นต้นตำหรับร้านขนมปังปิ้งและนมสดแสนอร่อย ที่ผ่านไปแถวนั้นต้องไปยืนรอคิวซื้อทานกับเพื่อนๆ อยู่เป็นประจำ

เมนูโปรดของเรา ก็จะเป็น ขนมปังปิ้งเนยนม แผ่นละ 25 บาท ขนมปังปิ้งเนยชอกโกแลต แผ่นละ 30 บาท ขนมปังมีความกรอบนอกนุ่มใน เนยนมหอมมันมีความหวานอ่อนๆ ส่วนชอกโกแลตราดแบบล้นแผ่นมีความหอมหวานชอกโกแลตเข้มข้นดีมากๆ ชอบเนยชอกที่สุด

และเมนูที่ขาดไม่ได้คือขนมปังนึ่งกับสังขยาและสังขยาใบเตย ชุดละ 60 บาท ขนมปังมีความนุ่ม สังขยาหวานอ่อนๆ หอมมันมีกลิ่นใบเตย รสชาตินุ่มนวลอร่อยมากๆ ทานคู่กับนมสดร้อนๆ ก็เข้ากันดีมากๆ หรือจะทานกับชานมเย็นก็เข้มข้นเข้ากันอย่างลงตัว ส่วนน้ำอัญชันมะนาวก็อร่อยเปรี้ยวหวานสดชื่น"
4,"มนต์นมสด สาขาใกล้ที่ว่าการกรุงเทพ ร้านเปิดบ่ายสองแต่บ่ายสองห้านาทีคนก็เยอะแล้ว ใครอยากทานที่ร้านอาจจะต้องรอโต๊ะ

ขนมปังปิ้งกับสังขยาไข่และขนมปังนึ่งกับสังขยาใบเตย รสชาติอร่อยตามแบบฉบับมนต์นมสด สังขยาคือดีมากก ไม่หวานเกินไป มีกลิ่นหอม ส่วนตัวชอบสังขยาไข่มากกว่า เครื่องดื่มก็ดีไม่หวานเกินไปทานกับขนมปังเข้ากั๊นเข้ากัน"
5,"อร่อย หอม นุ่มมมม
สั่งสังขยาแล้วก็สังขยาใบเตย Signature ตามสเต็ป อร่อยแบบที่รู้ๆกันเลย คืออร่อยอะแหละ ขนมปังกรอบๆนิดๆ แต่สาขานี้คนแน่นเว่อร์นั่งเบียดมาก ห้องน้ำยังต้องต่อคิว ไม่รู้ว่าอร่อยกว่าสาขาอื่นรึเปล่าแต่สาขานี้เป็นสาขาแรก มีประวัติความเป็นมามันเลยดูมีกลิ่นอายความเก่าแก่ โดยรวมชอบนะคะ ถ้าไม่ติดว่าขี้เกียจยืนรอนานๆก็มาเถอะค่ะมาสัมผัสบรรยากาศเก่าๆ ถนนเส้นนี้ก็มีอะไรให้เดินเยอะด้วย ถ้าไปคราวหน้าก็อยากลองไส้อื่นๆ ร้านนี้คือร้านที่มาเดทแรกๆของเรากะแฟน เลยรู้สึกชอบค่ะ 555"
6,ร้านขนมปังปิ้งเจ้าดัง เก่าแก่ย่านเสาชิงช้า ที่มาทีไรคนเยอะตลอดๆ เจ้านี้กินมาตั้งแต่เด็ก แล้วที่บ้านก้อชอบมาก ด้วยความนุ่มของขนมปังและตัวสังขยาที่ข้น หอมมัน ส่วนขนมปังปิ้งๆ ได้กรอบนอกนุ่มใน ราดซอสเข้มข้น เมนูเครื่องดื่มทุกอย่างเข้มข้น เพราะเค้าใช้นมสดแท้ในการผสม รสชาติเลยหอมหวานชื่นใจค่ะ
7,ร้านขนมปังปิ้งชื่อดัง ย่านเสาชิงช้า มาตอนบ่ายคนเยอะเต็มร้านพอสมควร ขนมปังปิ้ง ทำได้กรอบดี สังขยาก็อร่อย เครื่องดื่มทำได้เข้มข้นดี แต่หวานและแก้วเล็กไปเมื่อเทียบกับราคา ชอบพุดดิ้งมาก ชาเขียวหอมดี ไม่หวานและนุ่มดี
8,ครั้งที่ 2 กับสาขานี้ ห่างมาหลายปี นานๆจะมาที พาพี่สาวมาลองชิม ที่บอกว่าขนมปังปิ้งสาขานี้ดี คือ รู้สึกว่าชิ้นจะหนากว่าสาขา MBK สังขยาเผือกก็หมดมานานทุกสาขา ไม่รู้เมื่อไหร่จะมีขายอีก ส่วนเครื่องดื่มที่โอเคสุดๆ คือ นมสดเย็นรสจืด และหวาน ลงตัว ไม่หวานเกินไป หอมนมด้วย ครั้งนี้ลองสั่ง ช็อคโกแลตเย็น หวานแสบคอมาก เคยลองสั่งชาเขียวและชาไทย ที่สาขา MBK ก็หวานพอๆกันเลย
9,ขนมปังปิ้งกับสังขยาไข่และขนมปังนึ่งกับสังขยาใบเตย รสชาติอร่อยตามแบบฉบับมนต์นมสด สังขยาคือดีมากก ไม่หวานเกินไป มีกลิ่นหอม ส่วนตัวชอบสังขยาไข่มากกว่า เครื่องดื่มก็ดีไม่หวานเกินไปทานกับขนมปังเข้ากั๊นเข้ากันฃ
10,"ร้านมนต์นมสด เป็นร้านนมที่เปิดสร้างชื่อเสียงมาหลายสิบปี จนปัจจุบันมีด้วยกันหลายสาขาเลย

สาขาที่เรามาใช้บริการวันนี้คือสาขาหน้าศาลาการกรุงเทพซึ่งเป็นสาขาต้นตำรับที่ใครๆก็มาใช้บริการเปิดบริการช่วงบ่ายไปจนถึงดึก ซึ่งวันนี้เราใช้แบบซื้อกลับบ้านสั่งทั้งสิ้นสามเมนู

เมนูแรกเป็นเมนูที่ใครก็ติดใจอยากขนมปังปิ้งของที่ร้านมนต์นมสดวันนี้เราเลือกหน้ามาเป็นหน้าซุปข้าวโพด ขนมปังกรอบกลางๆแต่ซุปข้าวโพดอร่อยมาก ควรทานตอนร้อนร้อนอย่างยิ่งพอทิ้งไว้จนเย็นจะเกิดอาการเลี่ยนขึ้นมานิดนึง
เมนูที่สองเป็นเครื่องดื่มประเภทที่ต้องทานพร้อมน้ำแข็ง ประธานเราเปล่าถึงแม้จะแช่เย็นก็จะหวานมากวันนี้เราเลือกสั่งเป็นเมนูชาเขียวแม้จะเป็นร้านนมแต่บอกเลยว่าชาเขียวที่นี่เข้มสะใจมาก “หวานคนเข้ม!”
สุดท้ายสั่งเป็นเมนูพุดดิ้งเป็นครั้งแรกเลยที่ได้ลองทานเนื้อพุดดิ้งเด้งดึ๋งงงดีแต่เราว่าแห้งไปหน่อย กลิ่นนมชัดเจนไม่ทิ้งชื่อเสียงของร้านเลย
ร้านนี้เป็นร้านนมที่เชิดหน้าชูตาและทำให้มาตรฐานของร้านนมดูดีขึ้นมาก แม้ว่าเมนูหลักๆจะไม่ค่อยหลากหลายมาก แต่เรื่องรสชาติก็มีให้ลองทานแบบไม่เบื่อเลยเยอะมากค่ะ
อย่างที่บอกคือแบรนด์นี้มีหลากหลายสาขามากก็เลือกลองทานสาขาที่ใกล้บ้านท่านดูนะคะ"
11,เข้ามาในร้านคนเยอะมากก โต๊ะมีคนคอยดูโต๊ะ เคลียโต๊ะ เตรียมโต๊ะ ให้บอกพักงานได้เลยนะคะ คิวขนมปังและเครื่องดื่มที่ทานในร้านไม่ยาวมาก แต่สั่งกลับบ้านคิวเยอะมากค่ะ 
12,ลูกค้าเยอะมากๆ และมีคนที่เข้ามาต่อนั้น ยังไม่มีที่นั่ง สิริที่ได้นั่งร้านนี้ใช้เวลาเพียง 10 นาทีเท่านั้นครับ สำหรับตัวรสชาติอาหาร ผมให้ผ่านเลยครับ แต่ถ้าหากคิดว่าจะมาชิวๆร้านนี้ละก็ ผมไม่แนะนำอย่างยิ่งครับ และถ้ามีโอกาส คราวหน้าผมจะมารีวิวเครื่องดื่มและขนมปังแบบ Take Home เพื่อเติมครับ อ่านต่อได้ที่ https://www.wongnai.com/restaurants/montnomsod-dinsor/reviews?ref=ct
13,"บรรยากาศร้าน อันนี้ให้ 2/5 คนแน่นเกินไป
หาโต๊ะนั่งยากมากๆ บางครั้งต้องรอให้คนอื่นลุก
มีความต่อคิวไปอีก ที่จอดรถก็จอดริมถนนได้
หรือเอาไปฝากที่รับฝากรถฝั่งตรงข้ามก้อได้เดินไกลหน่อย"
14,"เมื่อเพื่อนรู้ว่าจะมาก็ออเดอร์ตรึม
รสชาติให้เฉยๆครับ
หน้าตาก็เฉยๆครับ
บรรยากาศร้านคนเยอะซื้อกลับบ้านกินเอาครับ
การบริการเสียงจะดังหน่อยๆครับ
ความคุ้มค่าไม่รุ้สิถ้าไม่มีเพื่อนชวนก็คงไม่บากบั่นมา
ที่จอดรถลำบากมาก"
15,"มนต์นมสด สาขาเสาชิงช้า
ร้านของหวานเก่าแก่ ที่ขายขนมปังปิ้ง/ขนมปังสังขยา/ขนมปังนึง
ที่เป็นขนมปังเนื้อนุ่ม ขอบด้านนอกกรอบ ราดเนยนมฉ่ำๆ
หากเป็นขนมปังนึ่ง จะมีความฟูของขนมปัง และนุ่มสุดๆ

และอีกเมนูที่ขายคือ นมสด มีหลากรสให้เลือกลองตามความชอบ เช่น นมสดรสหวาน นมสดรสชอคโกแลต นมสดรสชาไทย นมสดรสเผือก

เมื่อทานคู่กันสองอย่าง ฟินสุดๆไปเลย
แต่สาขานี้ที่นั่งอาจจะหายากหน่อย เนื่องจากคนค่อนข้างเยอะ
และที่จอดรถหายาก"
16,"สั่งไลน์แมนมาส่ง เพราะอยากกินปังปิ้งช่วงบ่าย เรารอร้านเปิดบ่ายสองก็จัดมา สั่งมาหลากหลายเมนูมาก เพราะเผื่อคนที่บ้าน ระหว่างรอ เราเดินไปเก็บของ กลับมาเกือบหมดทุกเมนู เพราะเด็กที่บ้านแย่งกิน

วันนี้สั่งไปหลายไส้ แต่ซอสแต่ละอย่างราดน้อยไปหน่อย เลยไม่ค่อยถูกใจเราเท่าไหร่ และบริการทางไลน์แมนไม่มีให้สั่งซอสต่างๆเพิ่ม วันนี้เลยเน้นกินแบบธรรมดา"
17,"นั่งทานในร้าน หาที่นั่งยากมากค่ะ คนเต็มตลอด ที่นั่งแคบไปถนัดตา ถึงคนจะเยอะ แต่บริการเร็วมาก แบ่งงานเป็นสัดส่วน ช่องสั่งขนมปังปิ้ง น้ำขวด น้ำแก้ว ขนมปังธรรมดา
ที่ชอบร้านนี้ ชอบตรงขนมปัง ข้างในนิ่ม ขอบขนมปังกรอกกำลังดี ไม่แข็ง เนื้อขนมปังก็เหนียวนิดๆ ชอบมากค่ะ แต่ไม่ค่อยทานเพราะเขาใช้มังการีนหรือเนยเทียม ทานมากจะเลี่ยนและไม่ดีต่อสุขภาพค่ะ
ส่วนนม จะหวานมากๆๆๆ เข้นข้นมาก อยากแนะนำให้ผสมน้ำแข็งและให้น้ำแข็งละลายนิดนึง ก็จะกำลังดี"
18,"อร่อย หอม นุ่มมมม
สั่งสังขยาแล้วก็สังขยาใบเตย Signature ตามสเต็ป อร่อยแบบที่รู้ๆกันเลย คืออร่อยอะแหละ ขนมปังกรอบๆนิดๆ แต่สาขานี้คนแน่นเว่อร์นั่งเบียดมาก ห้องน้ำยังต้องต่อคิว ไม่รู้ว่าอร่อยกว่าสาขาอื่นรึเปล่าแต่สาขานี้เป็นสาขาแรก มีประวัติความเป็นมามันเลยดูมีกลิ่นอายความเก่าแก่ โดยรวมชอบนะคะ ถ้าไม่ติดว่าขี้เกียจยืนรอนานๆก็มาเถอะค่ะมาสัมผัสบรรยากาศเก่าๆ ถนนเส้นนี้ก็มีอะไรให้เดินเยอะด้วย ถ้าไปคราวหน้าก็อยากลองไส้อื่นๆ ร้านนี้คือร้านที่มาเดทแรกๆของเรากะแฟน เลยรู้สึกชอบค่ะ"
19,ให้ห้าดาวเนื่องจากส่วนตัวชอบมาก ขนมปังปิ้งและนมสด เมนูโปรดคือ ขนมปังปิ้งสังขยาไข่กับเนยนม แม้จะไม่กรอบตามที่อยากได้ในบางครั้ง แต่ยังคงความอร่อยทุกครั้ง ไม่นับเรื่องการหาที่นั่งที่ค่อนข้างวุ่นวาย เพราะมาทีไรคนเต็มร้านตลอด แนะนำว่าถ้ามีเมนูขายดีในใจ ควรมาให้ทัน 2 ทุ่ม เพราะจากหลายๆ ครั้งที่มาช้ากว่านั้น ปังช็อคกับสังขยาไข่จะหมดก่อนตลอด นมสดก็อร่อยมาก ไม่เหม็นคาว ราคาไม่แพงมากด้วยจ้า
20,"ทางร้านปรับปรุงโซนจำหน่ายเครื่องดื่ม ทำขนมปัง กั้นกระจก เมื่อลูกค้ามาก็เปิดหน้าต่างเลื่อนรับออเดอร์
มองรวมๆแล้วรู้สึกแคบขึ้นเยอะ พนักงานบริการรวดเร็วเหมือนเดิม"
